Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon
1,A1,1,2,20.5060520,-98.2123770
2,A1,1,17,20.4581280,-98.2212480
3,A1,1,2,20.5304270,-98.2368600
4,A1,3,15,20.4886550,-98.2029400
5,A1,1,2,20.5332530,-98.2196690
6,A1,1,19,20.5310600,-98.1826420
7,A1,1,6,20.5940120,-98.1875000
8,A1,1,20,20.4893290,-98.1663640
9,A1,1,15,20.5751000,-98.2281000
10,A1,1,10,20.5807000,-98.2694000
11,A1,1,45,20.4580760,-98.1754660
12,A1,1,2,20.4908470,-98.1840880
13,A1,2,13,20.5374540,-98.1405270
14,A1,1,17,20.5238750,-98.2382480
15,A1,1,21,20.5625900,-98.1383530
16,A1,1,12,20.5433000,-98.2280000
17,A1,2,13.5,20.5194190,-98.2287990
18,A1,2,7,20.5394390,-98.2310140
19,A1,1,11,20.5476750,-98.1309030
20,A1,1,12,20.5715000,-98.2583000
21,A1,1,20,20.6018000,-98.2287000
22,A1,2,12,20.5342940,-98.1637980
23,A1,2,10,20.4656440,-98.2229020
24,A1,2,17,20.4991110,-98.1286270
25,A1,2,15,20.4734190,-98.2219920
26,A1,1,14,20.5544210,-98.1577900
27,A1,3,18.33333333,20.4654440,-98.1734680
28,A1,2,11.5,20.5027850,-98.1642610
29,A1,2,23.5,20.4930080,-98.1519310
30,A1,2,14.5,20.4974300,-98.1456060
31,A1,2,47.5,20.4955520,-98.1862500
32,A1,2,16.5,20.4559400,-98.2116740
33,A1,2,11,20.4811700,-98.1555630
34,A1,1,25,20.4939480,-98.2249570
35,A1,2,16.5,20.4824790,-98.1758000
36,A1,2,22.5,20.5546330,-98.1956130
37,A1,2,18.5,20.4621280,-98.1617830
38,A1,2,11,20.5474210,-98.1902250
39,A1,2,23,20.4731620,-98.1477790
40,A1,2,15.5,20.4636070,-98.1803560
41,A1,2,13,20.5229080,-98.2085860
42,A1,2,10.5,20.5336740,-98.1739380
43,A1,2,12,20.4930860,-98.1175220
44,A1,2,12,20.5266450,-98.1560200
45,A1,1,28,20.5017250,-98.1274860
46,A1,3,9.333333333,20.5321440,-98.1867590
47,A1,2,15,20.4728700,-98.1922980
48,A1,2,3.5,20.4948400,-98.2280060
49,A1,2,18.5,20.4963060,-98.2356110
50,A1,2,10.5,20.5161320,-98.2120810
51,A1,1,23,20.4501000,-98.2166000
52,A1,2,14.5,20.5184380,-98.2232940
53,A1,2,43,20.5034560,-98.1447740
54,A1,2,8.5,20.5774560,-98.1857530
55,A1,2,10.5,20.5407100,-98.1875980
56,A1,3,18.33333333,20.4587490,-98.1704140
57,A1,3,21.66666667,20.4959390,-98.1873300
58,A1,3,14.33333333,20.4800260,-98.1780430
59,A1,2,5,20.5340380,-98.2046650
60,A1,2,4,20.5294220,-98.2046170
61,A1,2,10,20.5075600,-98.2223280
62,A1,2,22.5,20.4624220,-98.1498050
63,A1,1,36,20.4499660,-98.2168720
64,A1,2,7.5,20.4887140,-98.1576980
65,A1,3,17,20.4814740,-98.1459250
66,A1,2,9,20.5486090,-98.1790690
67,A1,2,4.5,20.5325150,-98.1828580
68,A1,2,15,20.5152830,-98.1997040
69,A1,2,14,20.5247240,-98.1747920
70,A1,2,6.5,20.5261500,-98.1770820
71,A1,2,35.5,20.5190800,-98.1243140
72,A1,2,14.5,20.5086350,-98.1693860
73,A1,2,21,20.5274130,-98.2278560
74,A1,2,14.5,20.4775490,-98.2119090
75,A1,2,9.5,20.4926290,-98.2307540
76,A1,2,30.5,20.4855720,-98.1991200
77,A1,2,19.5,20.4548660,-98.1799940
78,A1,2,9.5,20.5314000,-98.2046000
79,A1,2,9.5,20.5235000,-98.2306000
80,A1,2,13.5,20.5036830,-98.1617350
81,A1,1,31,20.5042320,-98.1732120
82,A1,2,15,20.4486930,-98.2113020
83,A1,2,5.5,20.4802000,-98.2382000
84,A1,2,17,20.5207840,-98.1444380
85,A1,1,3,20.4696000,-98.2186000
86,A1,2,22.5,20.4922170,-98.1493910
87,A1,2,18,20.4762430,-98.1686910
88,A1,1,15,20.4972340,-98.2327150
89,A1,2,13,20.4645500,-98.2303420
90,A1,2,15.5,20.4833940,-98.1530300
91,A1,2,25.5,20.4704150,-98.1863020
92,A1,2,8.5,20.5276430,-98.1911370
93,A1,2,17.5,20.4741280,-98.2332010
94,A1,2,9,20.4952340,-98.2170190
95,A1,2,10.5,20.5366450,-98.1858700
96,A1,2,18.5,20.4735490,-98.1894300
97,A1,2,34.5,20.4742060,-98.2085610
98,A1,1,21,20.4851090,-98.2462240
99,A1,2,8,20.5279060,-98.1744100
100,A1,2,21.5,20.5048300,-98.1410640
101,A1,2,7.5,20.4778000,-98.1815000
102,A1,3,10,20.5234000,-98.1837100
103,A1,2,20.5,20.4750390,-98.1539270
104,A1,2,19,20.5214950,-98.2295810
105,A1,2,12,20.5281020,-98.2172670
106,A1,2,22,20.4804150,-98.2793440
107,A1,1,28,20.5669210,-98.1330020
108,A1,2,13,20.4864650,-98.1296850
109,A1,2,11.5,20.4853520,-98.1921310
110,A1,3,18.33333333,20.4858030,-98.1886670
111,A1,3,14,20.4619370,-98.1778610
112,A1,1,4,20.5207500,-98.2596160
113,A1,1,8,20.5324650,-98.2037860
114,A1,3,9,20.5226120,-98.1853790
115,A1,2,22.5,20.5516070,-98.1373480
116,A1,2,11,20.4650890,-98.2387690
117,A1,2,39,20.4704690,-98.1997900
118,A1,2,13,20.5362400,-98.1998640
119,A1,2,36,20.4898280,-98.2027130
120,A1,3,8,20.4780050,-98.2061830
121,A1,1,1,20.5238500,-98.2137340
122,A1,2,28.5,20.5251720,-98.1573480
123,A1,1,25,20.4796730,-98.1607300
124,A1,2,13.5,20.5432620,-98.1786550
125,A1,2,25,20.4951530,-98.1313150
126,A1,2,24.5,20.4943440,-98.2266740
127,A1,2,18,20.4696810,-98.1752190
128,A1,1,23,20.5041680,-98.1471310
129,A1,1,6,20.5407660,-98.1849410
130,A1,2,12,20.5269200,-98.2130340
131,A1,2,10.5,20.4675580,-98.2185600
132,A1,2,5,20.5493000,-98.2022450
133,A1,2,29,20.4901070,-98.1391820
134,A1,2,17.5,20.4622760,-98.2267310
135,A1,2,16,20.4826320,-98.2368120
136,A1,2,7.5,20.4916360,-98.2428900
137,A1,2,11.5,20.5385590,-98.1997340
138,A1,3,26,20.4748860,-98.1940880
139,A1,2,11,20.4770500,-98.2363940
140,A1,2,16,20.4815620,-98.1563100
141,A1,2,16.5,20.5570000,-98.1445000
142,A1,3,18.33333333,20.5020780,-98.2187620
143,A1,1,8,20.5309000,-98.2139000
144,A1,2,9,20.5371850,-98.1508750
145,A1,2,14.5,20.4651620,-98.1952850
